sensor,bucket,timestamp,value,type
['kitchen_PIR'],1_5_9,1730715165000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715175000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715185000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715206000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715213000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715232000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715245000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715255000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715269000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715299000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715312000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715337000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715369000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715379000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715405000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715435000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715453000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715486000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715507000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715525000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715544000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715559000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715572000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730715589000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730716022000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730716039000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730716091000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730716114000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730716162000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730716221000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730716235000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730716248000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730716512000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910345000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910358000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910368000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910400000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910435000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910446000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910454000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910629000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910661000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910668000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910677000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910703000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910797000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910815000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910834000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910851000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910863000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910876000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910897000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910917000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910939000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910958000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910971000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730910991000.0,kitchen,sensor
