sensor,bucket,timestamp,value,type,sensor_encoded
bathroom_PIR,1_3_6,2024-11-10 10:19:45.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 10:20:06.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 10:20:38.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:26:00.000,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-11-10 10:26:54.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 10:27:56.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 10:28:07.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:29:47.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 10:56:05.000,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-11-10 10:56:38.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 10:56:53.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 10:57:05.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 10:58:26.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 10:58:53.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 10:59:25.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 11:00:13.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 11:00:35.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 11:00:51.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 11:01:13.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 11:01:34.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 11:03:01.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 11:04:08.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 11:04:28.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 11:04:41.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 11:05:14.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 11:05:23.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 11:05:57.000,kitchen,sensor,1
livingroom_magnetic_switch,1_4_11,2024-11-10 11:59:49.000,livingroomdoor,sensor,3
livingroom_magnetic_switch,1_4_11,2024-11-10 12:01:24.000,livingroomdoor,sensor,3
livingroom_magnetic_switch,1_4_11,2024-11-10 12:02:21.000,livingroomdoor,sensor,3
kitchen_PIR,1_5_9,2024-11-10 12:02:32.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:02:42.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:02:51.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:03:09.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:03:17.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:03:26.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:03:48.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:03:54.000,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-11-10 12:05:23.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:10:33.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 12:30:39.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:31:09.000,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-11-10 12:31:22.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:31:45.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:32:03.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:32:18.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:32:38.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:33:44.000,bathroom,sensor,0
