group_id,value,start_time,end_time,duration,duration_seconds
148,bathroom,2024-12-14 06:03:59.908,2024-12-14 06:03:59.908,0 days 00:00:00,0.0
149,kitchen,2024-12-14 06:04:06.062,2024-12-14 06:04:12.228,0 days 00:00:06.166000,6.166
150,bathroom,2024-12-14 06:04:18.491,2024-12-14 06:04:18.491,0 days 00:00:00,0.0
151,kitchen,2024-12-14 06:04:20.074,2024-12-14 06:25:55.780,0 days 00:21:35.706000,1295.706
152,bathroom,2024-12-14 06:39:35.688,2024-12-14 18:28:22.149,0 days 11:48:46.461000,42526.461
153,kitchen,2024-12-14 18:29:25.826,2024-12-14 18:32:18.840,0 days 00:02:53.014000,173.014
154,bathroom,2024-12-14 18:32:26.847,2024-12-14 18:32:33.373,0 days 00:00:06.526000,6.526
155,kitchen,2024-12-14 18:32:39.778,2024-12-14 18:32:39.778,0 days 00:00:00,0.0
156,bathroom,2024-12-14 18:32:40.320,2024-12-14 18:33:24.400,0 days 00:00:44.080000,44.08
157,kitchen,2024-12-14 18:33:25.055,2024-12-14 18:33:47.785,0 days 00:00:22.730000,22.73
158,bathroom,2024-12-14 18:33:48.627,2024-12-14 18:33:51.036,0 days 00:00:02.409000,2.409
159,kitchen,2024-12-14 18:34:00.620,2024-12-14 18:34:01.719,0 days 00:00:01.099000,1.099
160,bathroom,2024-12-14 18:34:02.678,2024-12-14 18:34:09.879,0 days 00:00:07.201000,7.201
161,kitchen,2024-12-14 18:34:16.489,2024-12-14 18:34:24.499,0 days 00:00:08.010000,8.01
162,bathroom,2024-12-14 18:34:26.821,2024-12-14 18:34:29.933,0 days 00:00:03.112000,3.112
163,kitchen,2024-12-14 18:34:33.981,2024-12-14 18:34:33.981,0 days 00:00:00,0.0
164,bathroom,2024-12-14 18:34:36.369,2024-12-14 18:34:39.319,0 days 00:00:02.950000,2.95
165,kitchen,2024-12-14 18:34:42.596,2024-12-14 18:34:42.596,0 days 00:00:00,0.0
166,bathroom,2024-12-14 18:34:45.540,2024-12-14 18:34:45.540,0 days 00:00:00,0.0
167,kitchen,2024-12-14 18:34:46.950,2024-12-14 18:34:46.950,0 days 00:00:00,0.0
168,bathroom,2024-12-14 18:34:58.701,2024-12-14 18:34:58.701,0 days 00:00:00,0.0
169,kitchen,2024-12-14 18:34:59.321,2024-12-14 18:35:00.281,0 days 00:00:00.960000,0.96
170,bathroom,2024-12-14 18:35:03.053,2024-12-14 18:35:03.053,0 days 00:00:00,0.0
171,kitchen,2024-12-14 18:35:09.167,2024-12-14 18:35:23.036,0 days 00:00:13.869000,13.869
172,bathroom,2024-12-14 18:35:35.458,2024-12-14 18:35:35.458,0 days 00:00:00,0.0
173,kitchen,2024-12-14 18:35:35.485,2024-12-14 18:37:54.554,0 days 00:02:19.069000,139.069
174,bathroom,2024-12-14 18:38:53.827,2024-12-14 18:38:53.827,0 days 00:00:00,0.0
175,kitchen,2024-12-14 18:40:24.321,2024-12-14 18:41:00.293,0 days 00:00:35.972000,35.972
176,bathroom,2024-12-14 18:41:12.643,2024-12-14 18:41:12.643,0 days 00:00:00,0.0
